Column1;Genero;Edad;Altura;Peso;FAVC;FCVC;CH2O;FAF;TUE;CALC;TransporteUtilizado
354;Hombre;20;176;75;Si;No;RaraVez;10;10;Aveces;TransportePublico
355;Mujer;40;180;80;Si;No;RaraVez;20;30;No;TransportePublico
356;Mujer;37;165;73;No;Si;RaraVez;10;30;Aveces;Automovil
357;Hombre;19;167;80;Si;Si;RaraVez;20;10;Aveces;TransportePublico
358;Hombre;24;165;86;Si;Si;RaraVez;20;10;Aveces;TransportePublico
359;Hombre;24;185;68;Si;No;RaraVez;10;30;Aveces;Moto
360;Hombre;33;170;83;Si;No;RaraVez;30;30;Aveces;Automovil
361;Hombre;40;163;63;Si;No;RaraVez;30;10;Aveces;TransportePublico
362;Hombre;37;160;83;Si;No;RaraVez;10;30;No;Automovil
363;Hombre;20;170;74;No;No;RaraVez;30;10;Aveces;TransportePublico
364;Hombre;19;165;60;Si;No;RaraVez;10;10;No;TransportePublico
365;Hombre;17;165;69;Si;Si;RaraVez;10;20;Aveces;TransportePublico
366;Mujer;18;163;58;Si;No;RaraVez;10;20;No;Automovil
367;Mujer;21;180;56;Si;No;RaraVez;10;20;Aveces;TransportePublico
368;Hombre;18;167;70;Si;No;RaraVez;20;10;Aveces;Automovil
369;Hombre;41;160;92;Si;No;RaraVez;10;30;Aveces;Automovil
370;Mujer;36;176;60;No;Si;RaraVez;20;30;Aveces;Automovil
371;Hombre;18;165;68;No;No;RaraVez;10;10;Aveces;TransportePublico
372;Hombre;18;185;70;Si;Si;RaraVez;20;10;Aveces;TransportePublico
373;Hombre;17;182;70;Si;No;RaraVez;10;20;Aveces;Caminar
374;Hombre;25;165;83;Si;No;RaraVez;30;30;No;Moto
375;Hombre;21;173;75;Si;No;RaraVez;20;30;Aveces;TransportePublico
376;Mujer;29;163;56;No;No;RaraVez;10;10;Aveces;TransportePublico
377;Hombre;17;161;98;No;No;RaraVez;10;10;Aveces;Automovil
378;Mujer;18;178;60;Si;No;RaraVez;10;20;Siempre;Caminar
379;Mujer;16;169;89;Si;No;RaraVez;10;10;Siempre;TransportePublico
380;Mujer;18;164;60;No;No;Siempre;10;20;No;TransportePublico
381;Mujer;37;176;75;Si;Si;RaraVez;10;30;Aveces;Moto
382;Hombre;18;166;108;No;Si;RaraVez;10;30;Siempre;TransportePublico
383;Mujer;16;152;65;Si;Si;RaraVez;10;30;Siempre;TransportePublico
384;Hombre;23;172;78;Si;No;Siempre;10;20;No;TransportePublico
385;Mujer;18;169;78;No;No;RaraVez;10;10;Aveces;Caminar
386;Hombre;18;172;69;No;No;RaraVez;20;20;No;TransportePublico
387;Hombre;18;155;78;Si;No;RaraVez;10;10;Aveces;TransportePublico
388;Mujer;17;165;55;Si;No;RaraVez;10;10;No;TransportePublico
389;Mujer;20;156;39;Si;No;Siempre;30;20;Aveces;TransportePublico
390;Mujer;38;157;59;No;Si;Siempre;20;10;Frecuentemente;Automovil
391;Hombre;20;188;60;Si;Si;Siempre;10;30;No;TransportePublico
392;Hombre;21;175;125;Si;No;Siempre;10;30;Aveces;TransportePublico
393;Hombre;21;165;60;No;No;RaraVez;10;30;Aveces;Moto
394;Hombre;18;175;70;No;No;RaraVez;10;30;No;TransportePublico
395;Hombre;26;158;82;Si;No;Siempre;10;10;Aveces;TransportePublico
396;Hombre;27;156;99;Si;No;RaraVez;20;10;Aveces;Caminar
397;Mujer;26;158;112;No;Si;RaraVez;10;30;No;Automovil
398;Hombre;34;161;73;Si;No;RaraVez;30;10;Aveces;Automovil
399;Hombre;18;175;86;No;Si;Siempre;30;30;No;TransportePublico
400;Hombre;33;165;66;No;No;RaraVez;30;10;Aveces;Automovil
401;Mujer;19;175;59;Si;Si;RaraVez;10;20;Aveces;Caminar
402;Hombre;20;162;79;No;No;RaraVez;10;30;Aveces;TransportePublico
403;Mujer;33;163;55;Si;Si;Siempre;20;10;Aveces;TransportePublico
404;Hombre;20;167;66;No;No;RaraVez;10;10;No;TransportePublico
405;Mujer;20;187;65;No;No;RaraVez;10;30;Aveces;TransportePublico
406;Hombre;33;175;85;Si;No;RaraVez;10;30;Aveces;Automovil
407;Hombre;33;166;85;No;No;RaraVez;10;30;Aveces;TransportePublico
408;Hombre;33;176;113;Si;No;Siempre;10;20;Frecuentemente;Automovil
409;Hombre;14;175;72;Si;Si;Siempre;20;10;No;Caminar
410;Hombre;34;167;88;Si;No;Siempre;20;30;No;Automovil
411;Hombre;18;165;87;Si;Si;Siempre;10;10;Frecuentemente;TransportePublico
412;Hombre;18;172;90;Si;No;RaraVez;20;30;Aveces;TransportePublico
413;Hombre;29;170;89;Si;No;RaraVez;10;30;Aveces;TransportePublico
414;Hombre;18;158;60;Si;No;RaraVez;20;30;Aveces;Automovil
415;Hombre;18;162;60;Si;Si;RaraVez;20;30;Aveces;Automovil
416;Hombre;19;165;58;Si;No;RaraVez;20;30;Aveces;Cicla
417;Hombre;33;165;93;Si;Si;RaraVez;10;10;Aveces;Caminar
418;Hombre;33;177;76;No;Si;RaraVez;10;20;Aveces;Caminar
419;Mujer;19;170;60;Si;No;RaraVez;20;10;Aveces;TransportePublico
420;Hombre;22;179;70;No;No;Siempre;10;10;No;TransportePublico
421;Mujer;20;160;60;Si;No;Siempre;30;30;Aveces;TransportePublico
422;Hombre;23;176;69;Si;No;RaraVez;20;10;Aveces;TransportePublico
423;Hombre;26;175;80;Si;Si;RaraVez;10;30;Aveces;Automovil
424;Hombre;18;189;85;Si;Si;RaraVez;10;30;Aveces;TransportePublico
425;Mujer;18;187;55;Si;No;Siempre;20;10;Aveces;TransportePublico
426;Hombre;19;174;70;Si;Si;Siempre;20;30;No;TransportePublico
427;Mujer;18;168;59;Si;No;Siempre;10;10;Aveces;TransportePublico
428;Hombre;19;161;87;Si;No;Siempre;30;10;Frecuentemente;Automovil
429;Mujer;19;162;80;Si;No;RaraVez;30;10;No;TransportePublico
430;Mujer;18;156;55;Si;No;RaraVez;10;30;Frecuentemente;Automovil
431;Mujer;18;163;56;Si;No;Siempre;10;30;Aveces;Caminar
432;Mujer;19;163;64;Si;No;RaraVez;20;10;Aveces;Automovil
433;Mujer;19;167;60;Si;Si;RaraVez;10;10;Aveces;TransportePublico
434;Mujer;18;178;56;Si;Si;RaraVez;10;30;No;Automovil
435;Mujer;18;162;78;Si;No;RaraVez;10;20;No;TransportePublico
436;Hombre;26;158;65;Si;No;Siempre;10;10;Aveces;Caminar
437;Hombre;18;169;60;Si;No;RaraVez;10;20;Aveces;TransportePublico
438;Hombre;19;174;60;Si;No;RaraVez;20;30;Aveces;TransportePublico
439;Mujer;19;168;89;Si;No;RaraVez;30;30;Aveces;TransportePublico
440;Hombre;19;153;82;Si;No;RaraVez;20;30;Aveces;TransportePublico
441;Hombre;19;167;87;Si;No;Siempre;20;10;Aveces;TransportePublico
442;Mujer;24;155;110;Si;No;RaraVez;10;20;Aveces;TransportePublico
443;Mujer;18;164;63;Si;No;RaraVez;20;20;Aveces;TransportePublico
444;Hombre;19;183;71;Si;No;RaraVez;10;10;Aveces;TransportePublico
445;Hombre;19;165;65;No;No;Siempre;10;30;No;TransportePublico
446;Hombre;23;163;69;No;Si;RaraVez;20;10;Aveces;Automovil
447;Mujer;18;189;78;Si;No;RaraVez;10;30;Aveces;Automovil
448;Mujer;20;177;68;Si;No;Siempre;10;30;No;TransportePublico
449;Hombre;18;192;66;Si;No;RaraVez;10;10;Aveces;TransportePublico
450;Mujer;33;174;60;Si;Si;RaraVez;10;30;No;TransportePublico
451;Mujer;19;165;89;Si;No;Siempre;10;30;Aveces;TransportePublico
452;Hombre;19;173;60;Si;Si;RaraVez;10;10;Aveces;TransportePublico
453;Hombre;19;163;79;Si;No;RaraVez;10;20;Frecuentemente;TransportePublico
454;Hombre;21;172;110;Si;No;Siempre;10;20;No;TransportePublico
455;Hombre;27;160;88;Si;No;RaraVez;10;30;Aveces;Automovil
456;Hombre;17;165;68;No;No;RaraVez;20;10;Aveces;TransportePublico
457;Hombre;18;174;86;No;No;RaraVez;20;30;Aveces;Caminar
458;Mujer;18;164;87;Si;No;RaraVez;10;10;Aveces;TransportePublico
459;Hombre;22;157;75;Si;No;Siempre;10;30;No;Automovil
460;Mujer;20;184;89;Si;No;RaraVez;10;30;Aveces;TransportePublico
461;Mujer;19;191;84;Si;No;RaraVez;10;10;No;TransportePublico
462;Mujer;20;158;87;Si;No;RaraVez;30;30;Aveces;TransportePublico
463;Mujer;18;168;83;Si;No;RaraVez;10;30;Aveces;TransportePublico
464;Mujer;18;168;71;No;No;RaraVez;10;10;Aveces;TransportePublico
465;Mujer;18;148;87;Si;No;RaraVez;10;30;Aveces;TransportePublico
466;Hombre;19;162;64;Si;No;RaraVez;10;30;Siempre;TransportePublico
467;Mujer;18;178;68;No;No;RaraVez;10;20;Siempre;TransportePublico
468;Mujer;18;178;75;Si;No;Siempre;10;30;Aveces;TransportePublico
469;Mujer;18;178;56;Si;No;RaraVez;10;10;Aveces;TransportePublico
470;Hombre;19;163;65;Si;No;RaraVez;10;10;Siempre;TransportePublico
471;Mujer;17;164;78;Si;No;Siempre;10;20;Siempre;TransportePublico
472;Mujer;18;175;78;Si;Si;RaraVez;10;10;Siempre;TransportePublico
473;Hombre;18;183;64;Si;Si;RaraVez;20;30;Siempre;TransportePublico
474;Mujer;20;178;60;Si;No;Siempre;10;10;Aveces;TransportePublico
475;Mujer;18;165;58;Si;No;RaraVez;10;30;Aveces;TransportePublico
476;Mujer;36;184;80;Si;Si;RaraVez;10;20;Aveces;Automovil
477;Hombre;21;175;73;Si;No;Siempre;30;10;Aveces;TransportePublico
478;Hombre;23;175;75;Si;No;RaraVez;10;30;Frecuentemente;TransportePublico
479;Hombre;20;159;104;No;No;Siempre;30;30;Aveces;Moto
480;Hombre;21;166;84;Si;No;RaraVez;20;10;Aveces;Caminar
481;Mujer;19;163;78;Si;No;Siempre;10;20;Aveces;TransportePublico
482;Hombre;24;154;84;Si;No;Siempre;10;30;Aveces;TransportePublico
483;Hombre;25;156;68;Si;Si;RaraVez;10;10;Aveces;TransportePublico
484;Hombre;45;169;86;Si;No;RaraVez;10;30;Aveces;Automovil
485;Hombre;20;183;65;Si;No;Siempre;20;30;Aveces;Moto
486;Mujer;18;166;66;Si;No;Siempre;10;30;Aveces;TransportePublico
487;Hombre;19;175;60;Si;No;RaraVez;10;30;No;Moto
488;Hombre;20;175;89;No;No;RaraVez;10;10;Aveces;TransportePublico
489;Mujer;25;169;110;Si;Si;Siempre;10;10;Aveces;TransportePublico
490;Mujer;18;187;64;Si;No;Siempre;20;10;Aveces;TransportePublico
491;Mujer;26;163;56;Si;No;Siempre;10;10;Aveces;TransportePublico
492;Mujer;21;153;77;Si;No;RaraVez;10;30;Aveces;TransportePublico
493;Mujer;21;187;87;Si;No;RaraVez;10;30;Aveces;TransportePublico
494;Mujer;18;165;89;Si;No;RaraVez;10;30;Aveces;TransportePublico
495;Mujer;26;168;60;Si;No;RaraVez;10;30;Aveces;TransportePublico
496;Mujer;26;164;55;Si;Si;RaraVez;20;20;Aveces;TransportePublico
497;Mujer;21;171;60;Si;Si;RaraVez;30;30;Aveces;TransportePublico
498;Hombre;19;155;64;Si;No;RaraVez;20;30;Aveces;TransportePublico
499;Hombre;17;165;68;Si;Si;RaraVez;20;20;Aveces;TransportePublico
500;Hombre;22;175;105;Si;No;RaraVez;10;10;Aveces;TransportePublico
501;Mujer;22;172;80;Si;No;RaraVez;20;20;Siempre;TransportePublico
502;Mujer;21;172;68;Si;No;RaraVez;10;20;Siempre;TransportePublico
503;Mujer;22;161;99;Si;No;RaraVez;10;10;Siempre;TransportePublico
504;Mujer;21;163;60;No;No;RaraVez;20;10;Siempre;TransportePublico
505;Mujer;22;183;66;No;No;RaraVez;10;20;Siempre;TransportePublico
506;Mujer;21;160;103;No;Si;RaraVez;10;10;Siempre;TransportePublico
507;Mujer;21;162;78;No;No;RaraVez;10;30;Siempre;TransportePublico
508;Mujer;22;168;82;No;No;RaraVez;10;10;Siempre;TransportePublico
509;Mujer;23;175;70;No;No;RaraVez;10;30;Siempre;TransportePublico
510;Mujer;18;193;80;Si;Si;Siempre;10;30;Siempre;TransportePublico
511;Mujer;19;163;87;Si;No;RaraVez;10;20;Siempre;TransportePublico
512;Mujer;19;159;60;Si;Si;RaraVez;10;30;Siempre;TransportePublico
513;Mujer;20;168;82;Si;No;RaraVez;10;30;Aveces;TransportePublico
514;Mujer;21;159;68;Si;No;RaraVez;20;10;Aveces;TransportePublico
515;Mujer;20;169;78;Si;No;Siempre;20;30;Aveces;TransportePublico
516;Mujer;19;166;65;Si;No;RaraVez;10;30;Aveces;TransportePublico
517;Mujer;20;164;70;Si;No;Siempre;10;30;Aveces;TransportePublico
518;Mujer;21;162;76;No;No;Siempre;10;30;Aveces;TransportePublico
519;Mujer;21;178;70;No;Si;RaraVez;10;10;Aveces;TransportePublico
520;Mujer;19;163;83;No;No;Siempre;30;30;Aveces;TransportePublico
521;Hombre;23;167;68;Si;Si;RaraVez;10;10;Aveces;Automovil
522;Hombre;22;163;76;Si;Si;RaraVez;10;30;Aveces;Automovil
523;Hombre;23;185;90;Si;No;RaraVez;10;30;Aveces;Automovil
524;Hombre;18;154;62;Si;No;Siempre;10;30;No;TransportePublico
525;Hombre;21;164;65;Si;No;RaraVez;10;30;No;TransportePublico
526;Hombre;18;157;140;Si;No;RaraVez;10;10;No;TransportePublico
527;Mujer;18;162;127;Si;No;Siempre;10;30;Aveces;TransportePublico
528;Mujer;18;172;67;Si;Si;Siempre;10;20;Aveces;TransportePublico
529;Mujer;18;176;88;Si;No;Siempre;10;10;Aveces;TransportePublico
530;Mujer;19;165;75;No;No;RaraVez;10;30;Aveces;TransportePublico
531;Mujer;19;167;60;No;No;Siempre;20;30;Aveces;TransportePublico
532;Mujer;19;179;64;No;No;RaraVez;10;10;Aveces;TransportePublico
533;Mujer;23;159;62;Si;No;Siempre;10;10;Siempre;TransportePublico
534;Mujer;20;164;80;Si;No;Siempre;10;10;Siempre;TransportePublico
535;Mujer;23;178;65;Si;Si;RaraVez;30;20;No;TransportePublico
536;Mujer;19;175;72;Si;Si;RaraVez;10;10;Aveces;TransportePublico
537;Mujer;18;185;72;Si;Si;RaraVez;30;10;Aveces;TransportePublico
538;Mujer;19;179;60;Si;No;Siempre;20;30;Aveces;TransportePublico
539;Mujer;29;167;78;Si;No;Siempre;10;20;No;TransportePublico
540;Mujer;32;172;89;Si;Si;RaraVez;10;10;No;TransportePublico
541;Mujer;24;178;99;Si;Si;Siempre;10;10;No;TransportePublico
542;Hombre;17;174;70;Si;No;Siempre;10;20;Aveces;TransportePublico
543;Hombre;16;174;90;Si;Si;Siempre;20;10;Aveces;TransportePublico
544;Hombre;16;187;95;Si;No;Siempre;10;30;Aveces;TransportePublico
545;Hombre;18;160;62;Si;Si;Siempre;10;10;Aveces;TransportePublico
546;Hombre;18;176;70;Si;Si;RaraVez;10;20;Aveces;TransportePublico
547;Hombre;18;175;65;Si;Si;RaraVez;10;10;Aveces;TransportePublico
548;Hombre;17;189;67;Si;Si;Siempre;20;30;Siempre;Automovil
549;Hombre;19;187;55;Si;No;Siempre;10;10;Siempre;Automovil
550;Hombre;18;174;140;Si;No;Siempre;10;10;No;Automovil
551;Mujer;17;168;58;Si;No;Siempre;10;30;Aveces;TransportePublico
552;Mujer;17;161;62;Si;No;Siempre;10;30;Aveces;TransportePublico
553;Mujer;16;162;55;Si;No;Siempre;10;30;Aveces;TransportePublico
554;Hombre;17;156;57;Si;Si;Siempre;20;10;Siempre;Automovil
555;Hombre;17;163;69;Si;No;Siempre;30;30;Siempre;Automovil
556;Hombre;19;163;90;Si;No;RaraVez;20;30;Siempre;Automovil
557;Mujer;22;167;95;Si;No;RaraVez;20;30;Siempre;TransportePublico
558;Mujer;20;178;112;Si;Si;RaraVez;10;10;Siempre;TransportePublico
559;Mujer;22;162;60;Si;No;RaraVez;20;30;Siempre;TransportePublico
560;Mujer;19;158;80;Si;No;RaraVez;10;10;Aveces;TransportePublico
561;Mujer;17;169;78;Si;No;Siempre;10;30;Aveces;TransportePublico
562;Mujer;19;174;60;Si;No;Siempre;20;30;Aveces;TransportePublico
563;Mujer;18;168;65;Si;Si;RaraVez;10;30;Aveces;TransportePublico
564;Mujer;19;153;85;Si;Si;RaraVez;10;30;Aveces;TransportePublico
565;Mujer;17;167;89;Si;No;RaraVez;10;10;Aveces;TransportePublico
566;Mujer;19;155;89;No;No;RaraVez;10;30;Aveces;TransportePublico
567;Mujer;19;164;80;No;Si;RaraVez;10;10;Aveces;TransportePublico
568;Mujer;19;183;90;No;No;RaraVez;10;30;Aveces;TransportePublico
569;Hombre;17;165;60;Si;No;Siempre;10;30;Siempre;Automovil
570;Hombre;17;163;58;Si;Si;RaraVez;10;30;Siempre;Automovil
571;Hombre;18;189;91;Si;No;RaraVez;10;30;Frecuentemente;Automovil
572;Mujer;22;177;85;Si;No;Siempre;20;30;Frecuentemente;TransportePublico
573;Mujer;21;192;89;Si;No;RaraVez;20;30;Frecuentemente;TransportePublico
574;Mujer;23;174;83;Si;No;RaraVez;10;10;Frecuentemente;TransportePublico
575;Mujer;17;165;58;Si;Si;RaraVez;10;30;Aveces;TransportePublico
576;Mujer;18;173;83;Si;No;RaraVez;10;30;Aveces;TransportePublico
577;Mujer;18;163;87;Si;No;RaraVez;10;30;Aveces;TransportePublico
578;Mujer;18;172;65;Si;No;Siempre;30;30;Aveces;TransportePublico
579;Mujer;19;160;78;Si;Si;Siempre;10;30;Aveces;TransportePublico
580;Mujer;20;165;93;Si;No;RaraVez;10;30;Aveces;TransportePublico
581;Hombre;19;174;64;Si;No;RaraVez;10;10;Frecuentemente;Automovil
582;Hombre;17;164;84;Si;No;Siempre;10;20;Frecuentemente;Automovil
583;Hombre;18;157;57;Si;No;RaraVez;10;10;Frecuentemente;Automovil
584;Hombre;18;184;127;Si;Si;RaraVez;10;10;Frecuentemente;Automovil
585;Hombre;17;191;70;Si;No;Siempre;10;30;No;Automovil
586;Hombre;17;158;60;Si;No;Siempre;10;30;No;Automovil
587;Hombre;18;168;84;Si;No;Siempre;10;30;Aveces;TransportePublico
588;Hombre;18;168;70;Si;No;Siempre;10;30;Aveces;TransportePublico
589;Hombre;18;148;63;Si;No;RaraVez;20;10;Aveces;TransportePublico
590;Mujer;19;162;127;No;No;Siempre;10;20;Aveces;TransportePublico
591;Mujer;19;178;127;No;Si;Siempre;10;10;Aveces;TransportePublico
592;Mujer;19;178;127;No;Si;RaraVez;10;10;Aveces;TransportePublico
593;Mujer;19;178;80;Si;No;Siempre;30;10;Aveces;TransportePublico
594;Mujer;19;163;55;Si;No;Siempre;10;20;Aveces;TransportePublico
595;Mujer;19;164;90;Si;Si;RaraVez;30;20;Aveces;TransportePublico
596;Hombre;18;175;95;Si;No;Siempre;20;30;Aveces;TransportePublico
597;Hombre;18;183;88;Si;No;RaraVez;10;30;Aveces;TransportePublico
598;Hombre;18;178;75;Si;No;RaraVez;10;30;Aveces;TransportePublico
599;Hombre;19;165;58;Si;Si;RaraVez;10;30;Frecuentemente;TransportePublico
600;Mujer;21;184;87;Si;No;RaraVez;10;30;Frecuentemente;TransportePublico
601;Mujer;22;175;140;No;Si;RaraVez;20;30;Frecuentemente;TransportePublico
602;Mujer;23;175;62;No;No;RaraVez;10;30;Frecuentemente;TransportePublico
603;Mujer;19;159;57;No;No;Siempre;10;10;Aveces;TransportePublico
604;Mujer;20;166;86;Si;No;RaraVez;10;10;Aveces;TransportePublico
605;Mujer;20;163;85;Si;No;RaraVez;10;30;Aveces;TransportePublico
606;Mujer;20;154;60;No;No;Siempre;20;20;No;TransportePublico
607;Hombre;20;156;76;Si;Si;RaraVez;20;10;Aveces;Automovil
608;Mujer;21;169;75;Si;No;RaraVez;10;30;Siempre;TransportePublico
609;Mujer;18;183;95;Si;No;Siempre;10;30;Siempre;TransportePublico
610;Mujer;19;166;78;No;No;RaraVez;10;10;Siempre;TransportePublico
611;Mujer;22;175;67;Si;No;RaraVez;30;30;Siempre;TransportePublico
612;Mujer;18;175;90;Si;Si;RaraVez;10;30;Siempre;TransportePublico
613;Mujer;34;169;80;Si;No;Siempre;10;10;Siempre;TransportePublico
614;Hombre;16;187;68;Si;Si;RaraVez;20;10;Siempre;TransportePublico
615;Hombre;18;163;61;Si;Si;RaraVez;20;30;Siempre;TransportePublico
616;Hombre;17;153;70;Si;No;RaraVez;20;10;Siempre;Automovil
617;Mujer;16;187;78;Si;No;RaraVez;20;30;Siempre;TransportePublico
618;Hombre;17;165;60;Si;No;RaraVez;10;20;Siempre;Automovil
619;Mujer;22;168;58;Si;Si;RaraVez;20;30;Siempre;TransportePublico
620;Mujer;17;164;56;Si;No;RaraVez;20;20;Aveces;TransportePublico
621;Mujer;19;171;66;Si;Si;Siempre;20;30;Aveces;TransportePublico
622;Mujer;19;155;109;No;Si;Siempre;20;30;Aveces;TransportePublico
623;Hombre;17;165;75;Si;No;RaraVez;10;30;Aveces;Automovil
624;Mujer;23;175;72;Si;Si;Siempre;10;10;Aveces;TransportePublico
625;Mujer;18;172;80;Si;No;Siempre;10;30;Aveces;TransportePublico
626;Mujer;19;172;75;Si;No;Siempre;30;30;Aveces;TransportePublico
627;Hombre;18;161;68;Si;No;Siempre;10;30;Frecuentemente;Automovil
628;Hombre;17;163;65;Si;No;RaraVez;10;30;Frecuentemente;Automovil
629;Hombre;18;183;66;Si;No;Siempre;20;10;Frecuentemente;TransportePublico
630;Mujer;20;160;93;No;No;Siempre;20;10;Frecuentemente;TransportePublico
631;Mujer;19;162;75;Si;No;RaraVez;20;10;Aveces;TransportePublico
632;Hombre;18;168;67;Si;No;RaraVez;20;30;Aveces;TransportePublico
633;Hombre;19;175;70;Si;Si;RaraVez;10;30;Frecuentemente;TransportePublico
634;Hombre;17;193;87;Si;No;RaraVez;20;10;Frecuentemente;Automovil
635;Mujer;21;163;80;Si;No;RaraVez;20;30;Frecuentemente;TransportePublico
636;Mujer;22;159;61;Si;No;Siempre;20;30;Frecuentemente;TransportePublico
637;Mujer;20;168;90;Si;No;RaraVez;20;30;Frecuentemente;TransportePublico
638;Mujer;22;159;78;Si;Si;RaraVez;10;10;Frecuentemente;TransportePublico
639;Mujer;21;169;59;No;Si;Siempre;10;30;Frecuentemente;TransportePublico
640;Mujer;23;166;60;No;Si;RaraVez;10;30;Frecuentemente;TransportePublico
641;Mujer;21;164;84;No;No;RaraVez;30;20;Frecuentemente;TransportePublico
642;Mujer;21;162;94;No;Si;Siempre;10;30;Frecuentemente;TransportePublico
643;Mujer;23;178;63;No;No;RaraVez;10;30;Frecuentemente;TransportePublico
644;Mujer;22;163;89;No;No;RaraVez;20;10;Frecuentemente;TransportePublico
645;Mujer;18;167;60;Si;No;RaraVez;20;30;Aveces;TransportePublico
646;Mujer;19;163;62;Si;No;Siempre;20;20;Frecuentemente;TransportePublico
647;Mujer;19;185;78;Si;No;Siempre;20;10;Frecuentemente;TransportePublico
648;Mujer;19;154;72;Si;No;Siempre;10;30;Aveces;TransportePublico
649;Mujer;19;164;80;No;No;RaraVez;20;30;Aveces;TransportePublico
650;Mujer;20;157;60;Si;No;RaraVez;20;30;Aveces;TransportePublico
651;Mujer;20;162;75;Si;No;RaraVez;10;20;Aveces;TransportePublico
652;Mujer;21;172;85;Si;No;RaraVez;10;30;Frecuentemente;TransportePublico
653;Mujer;21;176;130;Si;No;RaraVez;10;30;Frecuentemente;TransportePublico
654;Mujer;18;165;72;Si;Si;Siempre;30;10;Aveces;TransportePublico
655;Hombre;22;167;80;Si;No;RaraVez;10;30;Aveces;Automovil
656;Hombre;19;179;79;Si;No;RaraVez;10;30;Aveces;Automovil
657;Hombre;21;159;77;Si;No;Siempre;20;30;Frecuentemente;Automovil
658;Hombre;18;164;82;Si;No;RaraVez;20;20;Frecuentemente;TransportePublico
659;Mujer;21;178;58;Si;No;RaraVez;20;10;No;TransportePublico
660;Hombre;18;175;59;Si;No;Siempre;20;10;Aveces;TransportePublico
661;Mujer;18;185;64;Si;No;Siempre;10;30;Aveces;TransportePublico
662;Mujer;19;179;59;Si;No;RaraVez;10;30;Aveces;TransportePublico
663;Mujer;18;167;127;Si;Si;RaraVez;10;30;Aveces;TransportePublico
664;Mujer;19;172;84;Si;No;RaraVez;20;10;Aveces;TransportePublico
665;Mujer;19;178;84;No;No;Siempre;20;30;Aveces;TransportePublico
666;Mujer;19;174;127;No;No;RaraVez;20;10;Aveces;TransportePublico
667;Mujer;22;174;67;Si;Si;RaraVez;10;20;Frecuentemente;TransportePublico
668;Hombre;20;187;70;Si;No;RaraVez;10;30;Frecuentemente;TransportePublico
669;Mujer;22;160;60;Si;Si;RaraVez;10;20;No;TransportePublico
670;Mujer;19;176;68;Si;No;Siempre;30;10;Aveces;TransportePublico
671;Mujer;18;175;96;Si;No;Siempre;10;20;Aveces;TransportePublico
672;Mujer;19;189;98;Si;No;Siempre;10;30;Aveces;TransportePublico
673;Mujer;27;187;105;Si;Si;Siempre;20;10;Frecuentemente;TransportePublico
674;Mujer;25;174;62;Si;No;RaraVez;20;30;Frecuentemente;TransportePublico
675;Mujer;22;168;56;Si;No;RaraVez;20;20;Siempre;TransportePublico
676;Hombre;17;161;80;Si;Si;RaraVez;20;30;Aveces;TransportePublico
677;Mujer;16;162;85;Si;No;RaraVez;10;30;Aveces;TransportePublico
678;Hombre;17;156;68;Si;No;Siempre;30;30;Aveces;TransportePublico
679;Hombre;18;163;83;Si;No;Siempre;10;10;Aveces;TransportePublico
680;Hombre;18;163;85;Si;No;Siempre;10;10;Aveces;TransportePublico
681;Hombre;18;167;74;Si;No;RaraVez;20;10;Aveces;TransportePublico
682;Hombre;17;178;118;Si;No;Siempre;20;30;Frecuentemente;Automovil
683;Hombre;19;162;120;Si;No;RaraVez;20;30;Frecuentemente;Automovil
684;Hombre;18;158;60;Si;Si;Siempre;20;30;Frecuentemente;Automovil
685;Mujer;18;169;83;Si;Si;RaraVez;10;20;Frecuentemente;TransportePublico
686;Mujer;16;174;80;Si;No;RaraVez;10;30;Aveces;TransportePublico
687;Mujer;16;168;102;Si;No;RaraVez;10;10;Aveces;TransportePublico
688;Hombre;17;153;90;Si;No;RaraVez;20;30;Frecuentemente;Automovil
689;Hombre;17;167;71;Si;No;Siempre;20;30;Frecuentemente;Automovil
690;Hombre;19;155;78;Si;No;RaraVez;20;20;Frecuentemente;Automovil
691;Mujer;22;164;110;Si;No;Siempre;10;10;Frecuentemente;TransportePublico
692;Hombre;20;183;73;Si;No;Siempre;10;20;Frecuentemente;TransportePublico
693;Mujer;22;165;65;Si;No;RaraVez;10;30;Frecuentemente;TransportePublico
694;Mujer;19;163;114;Si;Si;RaraVez;30;30;Aveces;TransportePublico
695;Mujer;16;189;87;Si;No;RaraVez;10;30;Aveces;TransportePublico
696;Mujer;19;177;63;Si;Si;RaraVez;10;10;Aveces;TransportePublico
697;Mujer;18;192;62;Si;No;Siempre;20;10;Aveces;TransportePublico
698;Mujer;19;174;60;Si;No;Siempre;20;30;Aveces;TransportePublico
699;Mujer;18;165;70;Si;No;Siempre;20;20;Aveces;TransportePublico
700;Mujer;19;173;63;No;No;RaraVez;20;30;Aveces;TransportePublico
701;Mujer;20;163;84;Si;No;RaraVez;10;30;Aveces;TransportePublico
702;Mujer;19;172;84;Si;No;RaraVez;30;30;Aveces;TransportePublico
703;Hombre;17;160;64;Si;No;RaraVez;10;30;Frecuentemente;Automovil
704;Hombre;17;165;56;Si;No;Siempre;10;30;Frecuentemente;Automovil
705;Hombre;17;174;77;Si;Si;RaraVez;20;30;Frecuentemente;Automovil
706;Mujer;21;164;87;Si;No;Siempre;20;30;Frecuentemente;TransportePublico
